app_name,vector,is_ransom,entr_r,entr_w,ext_r_cnt,ext_w_cnt,fids_c,fids_d,fids_r,fids_rn,fids_w,fids_ch,ext_ch_cnt,mouvedout,pids,ext_w_docs,ext_w_data,ext_w_db,ext_w_code,ext_w_exe,dir_files_c,dir_files_ch,exe_exists,test_set,sample_id
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,7,10,5,498,225,535,2,256,33,1,227,272,0,2,0,12503,0,251,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,7,10,5,508,229,543,2,262,33,1,231,274,0,2,0,12688,0,257,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,7,10,5,511,229,545,2,263,33,1,231,277,0,2,0,12814,0,258,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,7,10,5,516,231,547,2,266,33,1,233,279,0,2,0,12901,0,261,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,7,10,5,525,235,561,2,270,34,1,237,281,0,2,0,13093,0,265,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,7,10,5,535,235,569,2,274,34,1,237,287,0,2,0,13348,0,270,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,7,10,5,540,240,575,2,277,34,1,242,290,0,2,0,13510,0,272,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,7,10,5,546,240,579,2,279,34,1,242,291,0,2,0,13596,0,274,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,7,10,5,549,242,585,2,282,34,1,244,292,0,2,0,13667,0,277,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,7,10,5,554,246,591,2,284,34,1,248,297,0,2,0,13835,0,279,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,7,10,5,567,250,606,2,293,36,1,252,309,0,2,0,14128,0,288,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,7,10,5,569,253,608,2,294,38,1,255,309,0,2,0,14144,0,290,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,7,10,5,571,254,613,2,297,39,1,256,312,0,2,0,14215,0,292,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,7,10,5,577,256,625,2,300,41,1,258,318,0,2,0,14319,0,295,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,7,10,5,583,258,632,2,301,41,1,260,322,0,2,0,14505,0,296,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,7,10,5,587,265,636,2,304,46,1,267,330,0,2,0,14645,0,299,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,7,10,5,596,266,645,2,306,46,1,268,336,0,2,0,14811,0,301,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,7,10,5,604,271,654,2,312,47,1,273,339,0,2,0,14947,0,307,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,7,10,5,606,271,660,2,313,47,1,273,340,0,2,0,15007,0,308,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,7,10,5,613,280,665,2,316,54,1,282,351,0,2,0,15192,0,311,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,7,10,5,620,280,674,2,320,55,1,282,358,0,2,0,15384,0,314,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,7,10,5,627,281,684,2,324,55,1,283,365,0,2,0,15715,0,318,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,8,10,5,679,309,741,2,350,72,1,311,395,0,2,0,16718,0,344,4,1,FALSE,2
